State Code,Firms,Labeler codecode Product Package Size,Product code,Package size Size,Period Covered,FDA Approved drug name,Generic/Brand,Application #,Comments,Gen availability,Name of Gen,Date of Gen availability,Price issue,ANDA APP#,Units Reimbursed,No. of Prescriptions,Total Amount Reimbursed,Medicaid Amount Reimbursed,Non-Medicaid Amount Reimbursed,,,
MA,,2,7335,16,20001,HUMATROPE ,Brand,19640,,NoTE,,,,,378,83,68034.06,0,0,,,
MA,,2,7335,16,20002,HUMATROPE ,Brand,19640,,NoTE,,,,,303,66,54824.47,0,0,,,
MA,,2,7335,16,20003,HUMATROPE ,Brand,19640,,NoTE,,,,,188,38,33764.12,0,0,,,
MA,,2,7335,16,20004,HUMATROPE ,Brand,19640,,NoTE,,,,,239,61,42854.28,0,0,,,
MA,,2,8090,1,20002,HUMATROPE ,,,,,,,,,11,2,2888.5,0,0,,,
MA,,2,8090,1,20003,HUMATROPE ,,,,,,,,,1,1,264.5,0,0,,,
MA,,2,8090,1,20004,HUMATROPE ,,,,,,,,,1,1,265,0,0,,,
MA,,2,8091,1,20001,HUMATROPE ,,,,,,,,,19,5,16248.96,0,0,,,
MA,,2,8091,1,20002,HUMATROPE ,,,,,,,,,25,10,21569.76,0,0,,,
MA,,2,8091,1,20003,HUMATROPE ,,,,,,,,,21,7,17876.76,0,0,,,
MA,,2,8091,1,20004,HUMATROPE ,,,,,,,,,20,7,17030.04,0,0,,,
MA,,2,8089,1,20001,HUMATRTOPE,,,,,,,,,3,1,635.04,0,0,,,
MA,,2,8089,1,20002,HUMATRTOPE,,,,,,,,,9,3,1911.12,0,0,,,
MA,,2,8089,1,20003,HUMATRTOPE,,,,,,,,,6,2,1273.08,0,0,,,
MA,,2,8089,1,20004,HUMATRTOPE,,,,,,,,,3,1,638.04,0,0,,,
MA,,2,9515,1,20001,HUMULIN 50,,,,,,,,,1560,78,3257.79,0,0,,,
MA,,2,9515,1,20002,HUMULIN 50,,,,,,,,,1460,79,3119.12,0,0,,,
MA,,2,9515,1,20003,HUMULIN 50,,,,,,,,,1570,87,3358.1,0,0,,,
MA,,2,9515,1,20004,HUMULIN 50,,,,,,,,,1431,84,3106.48,0,0,,,
MA,,2,8715,1,20001,HUMULIN 70,Brand,19717,,NoTE,,,,,131470,6283,274369.92,0,0,,,
MA,,2,8715,1,20002,HUMULIN 70,Brand,19717,,NoTE,,,,,132978,6337,284382.58,0,0,,,
MA,,2,8715,1,20003,HUMULIN 70,Brand,19717,,NoTE,,,,,131430,6080,282863.43,0,0,,,
MA,,2,8715,1,20004,HUMULIN 70,Brand,19717,,NoTE,,,,,132120,6042,284104.33,0,0,,,
MA,,2,8717,59,20001,HUMULIN 70,,,,,,,,,901,42,2569.23,0,0,,,
MA,,2,8717,59,20002,HUMULIN 70,,,,,,,,,706,34,2107.65,0,0,,,
MA,,2,8717,59,20003,HUMULIN 70,,,,,,,,,627,35,2119,0,0,,,
MA,,2,8717,59,20004,HUMULIN 70,,,,,,,,,824,40,2767.1,0,0,,,
MA,,2,8770,59,20001,HUMULIN 70,Brand,19717,,NoTE,,,,,11326,519,45754.48,0,0,,,
MA,,2,8770,59,20002,HUMULIN 70,Brand,19717,,NoTE,,,,,12189,611,48981.91,0,0,,,
MA,,2,8770,59,20003,HUMULIN 70,Brand,19717,,NoTE,,,,,12695,618,50266.37,0,0,,,
MA,,2,8770,59,20004,HUMULIN 70,Brand,19717,,NoTE,,,,,13525,605,53565.35,0,0,,,
MA,,2,8216,1,20004,HUMULIN BR,,,,,,,,,10,1,16.31,0,0,,,
MA,,2,8415,1,20001,HUMULIN L ,,,,,,,,,10720,548,21840.7,0,0,,,
MA,,2,8415,1,20002,HUMULIN L ,,,,,,,,,10450,517,21298.13,0,0,,,
MA,,2,8415,1,20003,HUMULIN L ,,,,,,,,,11040,544,22399.61,0,0,,,
MA,,2,8415,1,20004,HUMULIN L ,,,,,,,,,10370,512,21479.7,0,0,,,
MA,,2,8315,1,20001,HUMULIN N ,Brand,18781,,NoTE,,,,,324228,17189,673306.49,0,0,,,
MA,,2,8315,1,20002,HUMULIN N ,Brand,18781,,NoTE,,,,,324704,17051,691709.84,0,0,,,
MA,,2,8315,1,20003,HUMULIN N ,Brand,18781,,NoTE,,,,,323241,16718,693006.05,0,0,,,
MA,,2,8315,1,20004,HUMULIN N ,Brand,18781,,NoTE,,,,,316388,16106,677795.76,0,0,,,
MA,,2,8317,59,20001,HUMULIN N ,,,,,,,,,1106,75,3113.47,0,0,,,
MA,,2,8317,59,20002,HUMULIN N ,,,,,,,,,792,57,2217.5,0,0,,,
MA,,2,8317,59,20003,HUMULIN N ,,,,,,,,,769,55,2526.16,0,0,,,
MA,,2,8317,59,20004,HUMULIN N ,,,,,,,,,802,60,2676.7,0,0,,,
MA,,2,8730,59,20001,HUMULIN N ,Brand,18781,,NoTE,,,,,12056,649,48104.97,0,0,,,
MA,,2,8730,59,20002,HUMULIN N ,Brand,18781,,NoTE,,,,,13872,753,54742.35,0,0,,,
MA,,2,8730,59,20003,HUMULIN N ,Brand,18781,,NoTE,,,,,15467,812,61265.03,0,0,,,
MA,,2,8730,59,20004,HUMULIN N ,Brand,18781,,NoTE,,,,,15082,777,59297.66,0,0,,,
MA,,2,8215,1,20001,HUMULIN R ,Brand,18780,,NoTE,,,,,81154,5570,169963.53,0,0,,,
MA,,2,8215,1,20002,HUMULIN R ,Brand,18780,,NoTE,,,,,77534,5354,167453.43,0,0,,,
MA,,2,8215,1,20003,HUMULIN R ,Brand,18780,,NoTE,,,,,75480,5166,163413.97,0,0,,,
MA,,2,8215,1,20004,HUMULIN R ,Brand,18780,,NoTE,,,,,74260,5000,160925.58,0,0,,,
MA,,2,8217,59,20001,HUMULIN R ,,,,,,,,,265,17,694.41,0,0,,,
MA,,2,8217,59,20002,HUMULIN R ,,,,,,,,,330,17,862.77,0,0,,,
MA,,2,8217,59,20003,HUMULIN R ,,,,,,,,,198,12,623.04,0,0,,,
MA,,2,8217,59,20004,HUMULIN R ,,,,,,,,,238,16,763.14,0,0,,,
MA,,2,8501,1,20001,HUMULIN R ,Brand,18780,,NoTE,,,,,160,6,1145.78,0,0,,,
MA,,2,8501,1,20002,HUMULIN R ,Brand,18780,,NoTE,,,,,100,5,750.86,0,0,,,
